iter	Passed	Remaining
0	3	364
1	7	376
2	17	569
3	23	561
4	26	505
5	31	489
6	36	481
7	42	483
8	45	465
9	51	460
10	55	450
11	59	434
12	62	421
13	66	407
14	69	395
15	74	388
16	78	381
17	81	369
18	84	358
19	88	352
20	91	344
21	96	341
22	102	341
23	105	334
24	112	336
25	116	332
26	120	326
27	124	319
28	133	327
29	139	326
30	144	321
31	148	315
32	151	308
33	157	305
34	160	298
35	163	291
36	167	285
37	172	281
38	182	285
39	187	281
40	190	274
41	191	264
42	194	257
43	197	251
44	200	244
45	202	238
46	205	231
47	208	226
48	211	220
49	214	214
50	217	208
51	219	202
52	222	196
53	224	190
54	225	184
55	228	179
56	231	174
57	234	169
58	237	164
59	239	159
60	243	155
61	246	150
62	248	146
63	251	141
64	254	137
65	257	132
66	260	128
67	263	124
68	266	119
69	269	115
70	271	110
71	274	106
72	277	102
73	279	98
74	281	93
75	284	89
76	286	85
77	288	81
78	291	77
79	294	73
80	296	69
81	298	65
82	302	61
83	305	58
84	307	54
85	309	50
86	311	46
87	314	42
88	318	39
89	320	35
90	322	31
91	324	28
92	327	24
93	329	21
94	332	17
95	334	13
96	337	10
97	339	6
98	342	3
99	345	0
