iter	Passed	Remaining
0	149	149784
1	151	75397
2	151	50509
3	153	38139
4	153	30619
5	154	25626
6	155	22089
7	156	19394
8	157	17298
9	157	15622
10	158	14257
11	159	13117
12	160	12174
13	161	11365
14	162	10647
15	162	10016
16	163	9457
17	164	8967
18	165	8524
19	166	8139
20	167	7795
21	168	7469
22	168	7174
23	169	6904
24	170	6653
25	171	6419
26	172	6207
27	173	6007
28	173	5822
29	174	5650
30	175	5487
31	176	5336
32	177	5193
33	178	5060
34	178	4933
35	179	4809
36	180	4696
37	181	4591
38	182	4486
39	182	4387
40	183	4296
41	184	4208
42	185	4124
43	186	4041
44	186	3962
45	187	3890
46	188	3818
47	189	3748
48	190	3688
49	190	3627
50	191	3566
51	192	3508
52	193	3452
53	193	3397
54	194	3344
55	195	3297
56	196	3249
57	197	3200
58	197	3155
59	198	3109
60	199	3064
61	199	3020
62	200	2981
63	201	2944
64	202	2906
65	202	2868
66	203	2831
67	204	2797
68	204	2761
69	205	2727
70	205	2693
71	206	2662
72	207	2632
73	207	2602
74	208	2573
75	209	2544
76	209	2515
77	210	2487
78	210	2459
79	211	2432
80	212	2406
81	212	2382
82	213	2355
83	213	2333
84	214	2310
85	215	2287
86	215	2264
87	216	2243
88	217	2222
89	217	2202
90	218	2183
91	219	2166
92	220	2148
93	221	2130
94	221	2112
95	222	2095
96	223	2076
97	223	2059
98	224	2042
99	225	2026
100	226	2012
101	226	1996
102	227	1980
103	228	1965
104	228	1950
105	229	1937
106	230	1923
107	231	1910
108	232	1898
109	232	1885
110	233	1872
111	234	1858
112	235	1845
113	235	1832
114	236	1820
115	237	1807
116	237	1795
117	238	1785
118	239	1773
119	240	1762
120	241	1751
121	241	1738
122	242	1728
123	243	1717
124	243	1707
125	244	1698
126	245	1687
127	246	1677
128	246	1667
129	247	1657
130	248	1647
131	249	1637
132	249	1628
133	251	1622
134	251	1613
135	252	1604
136	253	1595
137	253	1586
138	254	1577
139	255	1568
140	256	1562
141	257	1553
142	257	1544
143	258	1536
144	259	1528
145	260	1521
146	260	1513
147	261	1505
148	262	1498
149	263	1491
150	263	1484
151	264	1476
152	265	1469
153	266	1461
154	266	1454
155	267	1447
156	268	1440
157	269	1435
158	270	1428
159	270	1422
160	271	1414
161	272	1407
162	272	1400
163	273	1394
164	274	1388
165	275	1382
166	276	1377
167	276	1371
168	277	1365
169	278	1360
170	279	1354
171	280	1348
172	281	1344
173	282	1339
174	282	1332
175	283	1327
176	284	1321
177	285	1316
178	285	1310
179	286	1305
180	287	1301
181	288	1296
182	289	1290
183	289	1285
184	290	1280
185	291	1274
186	291	1269
187	292	1264
188	293	1260
189	294	1255
190	295	1249
191	295	1244
192	296	1239
193	297	1234
194	297	1229
195	298	1224
196	299	1220
197	300	1215
198	300	1210
199	301	1205
200	302	1200
201	302	1195
202	303	1191
203	304	1186
204	304	1181
205	305	1177
206	306	1173
207	307	1169
208	307	1164
209	308	1160
210	309	1155
211	309	1151
212	310	1147
213	311	1142
214	312	1139
215	312	1135
216	313	1131
217	314	1127
218	315	1123
219	315	1119
220	316	1116
221	317	1112
222	318	1108
223	319	1105
224	319	1102
225	320	1098
226	321	1095
227	322	1091
228	323	1087
229	323	1084
230	324	1081
231	325	1079
232	327	1076
233	327	1073
234	328	1069
235	329	1066
236	330	1062
237	331	1060
238	331	1056
239	332	1053
240	333	1049
241	334	1046
242	334	1043
243	335	1040
244	336	1038
245	338	1037
246	339	1034
247	340	1032
248	341	1029
249	342	1026
250	343	1023
251	344	1021
252	344	1018
253	345	1015
254	346	1011
255	347	1009
256	348	1006
257	349	1004
258	350	1001
259	350	998
260	351	995
261	352	992
262	352	989
263	353	986
264	354	983
265	355	981
266	356	979
267	357	976
268	358	974
269	359	971
270	360	968
271	361	966
272	362	964
273	362	961
274	363	958
275	364	955
276	365	952
277	365	950
278	367	948
279	368	946
280	368	944
281	369	941
282	370	939
283	371	936
284	372	934
285	373	933
286	374	931
287	375	928
288	376	926
289	377	923
290	377	920
291	379	919
